,user_id,name,average_stars,review_count,fans,yelping_since,fans,cool,funny,useful,compliment_cool,compliment_funny,compliment_plain
349166,0gNrgNzTRZvgCfVLc932og,Lesley,3.3,178,18,2008-04-29 17:00:59,18,86,98,149,12,12,12
349278,Kgb1KdaTrRnGqQ4misL12w,Lauren,4.29,451,18,2012-10-19 12:29:59,18,397,91,645,41,41,30
349312,dKr0Gg077trG3e0R24THdw,Ryan,3.24,21,1,2013-04-17 19:01:29,1,2,2,12,0,0,0
349324,h4bq8drRUQuRhD2_z2ia4g,Laura,3.84,16,1,2012-08-15 04:49:54,1,2,1,3,0,0,1
349356,MyOH75RSsjvpWKQ3N37C8Q,Erin,3.68,405,32,2008-04-07 01:37:20,32,328,298,597,17,17,27
349362,E3bACyQsbyKCtVJmasxnDw,Jeanene,4.67,73,3,2014-01-27 17:07:03,3,25,13,49,0,0,3
349368,SJ1q5WwqSKVbp2j9_wdt_w,Erin,3.33,205,9,2013-06-24 17:36:57,9,57,64,250,7,7,6
349374,bFfiMGbzsu0cfz1MUAVYJA,Carlos N Jaimi,4.0,5,0,2016-05-12 19:48:35,0,0,0,1,0,0,0
349385,P9zG22or7UBK3jOU0jo7DA,Laura,3.95,19,1,2015-07-07 15:15:44,1,7,2,9,0,0,0
349401,ANYaXHv2iI6hXIPqfmcLYQ,Shawn,4.5,33,0,2012-04-13 02:31:51,0,12,9,11,0,0,0
349411,yYFRj6DGq2UDAzqURymwUg,Mari,3.78,9,0,2016-04-08 22:25:03,0,1,2,4,0,0,0
349419,eIs903qIpxuYvKM2Kmas-A,Dione,4.36,88,9,2016-09-30 16:58:49,9,60,17,128,8,8,7
349426,DBSYNB-vYgMKSN_rVuIpFg,RJ,3.96,78,3,2011-03-17 03:07:41,3,14,23,56,0,0,1
349482,ucI9rPIoibQT0bcTJo8xsw,Cindy,3.85,208,7,2009-12-16 19:44:22,7,129,52,329,7,7,12
349504,L3aCI_xihkA4REMIaUMftA,Judy,5.0,2,0,2015-12-06 05:32:09,0,0,0,1,0,0,0
349533,-GKr2BY_1smem1y3D1l2Eg,Takeshi,3.26,68,4,2009-05-14 20:51:10,4,28,49,86,1,1,1
349547,LP_W1p3uoRM0QJdK1Z2xJg,Huy Anne,3.0,35,3,2013-10-26 23:34:40,3,7,11,55,0,0,1
349582,8qsmYLq50FrvChuNrJbLEw,Matt,4.36,55,0,2011-03-13 15:48:05,0,11,5,33,0,0,0
349625,avVT_AO7Chty8X0ZLvqM6A,Tahsina,2.33,2,0,2016-01-28 19:30:26,0,0,1,6,0,0,0
349667,xZ6MSPyymBmCZprDRA5Bxw,Brad,3.95,312,12,2011-06-08 00:22:13,12,184,142,343,11,11,16
349699,Q79YNm3K5amSjG_jwsqGXQ,Doug,4.1,440,4,2012-07-04 23:06:59,4,72,36,152,2,2,11
349703,BxARkkmEViMDHDVddUDX0A,Frederick,3.77,131,4,2012-09-23 01:00:49,4,35,38,118,1,1,2
349726,xqL4MbYaGQcwXlYUWljV8g,Ngoc,4.5,8,0,2014-07-27 16:37:03,0,1,2,4,0,0,0
349755,Jfy75chPVz9WP64OI6tBRQ,Gloria,3.8,65,2,2009-12-15 17:13:24,2,14,11,29,1,1,0
349791,TUIXiZymbfyrvdWHonL-8A,Janet,3.61,63,1,2015-06-06 05:16:50,1,11,12,60,0,0,3
349800,iTG0XVQHyCSKm87gfuUfZw,Kim,3.7,443,22,2012-10-02 19:36:26,22,268,125,780,32,32,35
349848,2EhvK5y-FCgaYH0tsi6WFw,Nate,4.02,128,3,2014-05-28 00:51:59,3,13,15,38,1,1,0
349873,eM41DfTpKr4MQCLJmsQVqg,nakisha,3.95,75,8,2011-03-04 17:05:43,8,25,8,65,2,2,7
349924,9l1gGifG1TiEg_ba33JIBg,Nick,3.74,46,3,2012-05-06 16:08:39,3,53,35,93,8,8,3
349958,Byo0hbnRlg0pRTUpZDYJfQ,Sean,3.68,170,18,2008-05-11 00:39:08,18,193,289,249,54,54,74
349962,2wEX4FUWyg5o-_T7XDufjw,Shayn,3.2,5,1,2011-02-21 04:25:32,1,2,2,18,0,0,0
349992,ZxOyDhMZZVgp15qgEUzrTw,Megan,4.66,574,28,2010-02-20 00:38:01,28,312,227,904,17,17,57
349993,eh-wKOlBpaNwFF9R59m6_A,Kelsey,4.3,10,0,2011-03-13 06:00:04,0,8,2,10,1,1,3
350019,pkpAmqwwP9uhCH8VAuySOA,Emily,3.26,23,0,2016-10-25 00:49:59,0,0,1,0,0,0,0
350067,ga5dabbkAZl1EUL1tbAQKw,Neal,5.0,3,0,2017-04-18 19:32:38,0,2,0,1,0,0,0
350081,YBa116q7RFrXZq6a0yVlCQ,JJ,3.67,78,9,2006-03-31 02:47:26,9,19,11,125,4,4,8
350091,oDZZu2Jj52dUDEJTrjCGQg,Chris,4.11,9,2,2009-09-04 18:31:45,2,4,1,4,0,0,0
350092,Zet-9TNC6Hfcdq1Zg80X-Q,Lea,3.71,312,18,2006-07-24 21:59:39,18,555,408,830,74,74,48
350112,ppOaWkPJ4a8SZPGxOHALUw,Brandon,3.29,6,0,2011-06-28 04:26:36,0,3,4,7,0,0,0
350139,NPKh4awnST_EiCtZBNx2mA,Justin,3.83,12,0,2011-08-02 04:07:05,0,2,1,6,0,0,0
350147,5JIRtOLYy5ZFSCwGbB3VFA,Angie,3.74,52,5,2007-12-22 07:59:55,5,16,11,17,3,3,0
350160,kn5UdH0pEVHkra2V0oVpLg,Michael,4.0,8,0,2008-12-31 02:16:27,0,8,5,11,0,0,0
350199,KdC7iPZxcArSX9VERfbGPA,Mike,3.37,230,65,2006-02-01 05:27:30,65,472,414,552,114,114,84
350202,HnLtK2q_QYiOsuJ1LGvL6g,Wil,3.49,51,3,2010-05-12 03:46:14,3,22,18,91,2,2,0
350222,avdWofo_5pXBUfZozAA9mQ,Gloria,3.87,61,6,2010-01-28 21:54:46,6,52,30,83,8,8,2
350233,qqHiHx73-EJYABl6xC4zPw,Bruce,3.8,5,0,2011-03-07 14:22:56,0,1,0,5,0,0,0
350243,qlGj9RvJmlSBK5l5Zzh90A,Jane,3.86,77,4,2011-05-31 18:19:49,4,31,21,80,4,4,1
350253,pJytXtyWpJ32FI0sZChJQw,Madee,4.07,14,0,2014-05-10 22:50:35,0,2,2,7,0,0,0
350270,Tg6O9A3magdwr3q_MhTVeQ,Heather,4.15,12,0,2015-08-10 21:16:30,0,2,1,4,0,0,0
350298,T-bj11LFKcqPMnfgg7WxoA,Julie,1.5,2,0,2016-12-27 05:16:01,0,0,0,1,0,0,0
350313,Om3FK9DV6oGCF287drCigg,Taylin,4.09,189,10,2015-04-13 17:02:29,10,86,45,269,5,5,7
350340,igUTfi9jVB5xb8pU3-1knA,Yassi,4.07,68,4,2012-03-27 05:25:46,4,38,23,97,1,1,1
350368,t5ZwpcQNvFZC1TwTxjiNUQ,Charlene,3.87,113,5,2007-03-29 16:47:19,5,24,26,86,2,2,2
350401,HBSY9CDUbICNh1kFWn18rg,Abraham,2.6,10,1,2011-12-23 01:04:36,1,3,10,23,0,0,0
350410,nSdD3ISX3abqvhYbyg9nmA,Bonnie,3.5,15,1,2013-08-10 03:44:32,1,2,1,9,0,0,0
350433,d4mAWdhUnWNP_wrgUM_xdw,Sara,4.49,39,0,2012-09-16 01:33:11,0,2,0,19,0,0,1
350451,qWjA-tr0wuX8ZMd9L1DMlw,Nicole,3.75,14,2,2013-04-07 16:57:54,2,3,5,16,0,0,1
350469,8Mxf6dYsTyh87Fpz7IslUA,Tim,3.0,6,0,2013-01-30 06:09:17,0,2,2,16,0,0,0
350470,7o_M-CaeOeAjNiRQ253t1A,Tossama,4.14,184,11,2008-07-08 02:13:01,11,81,49,186,11,11,1
350522,lVDsJ6oK_DRUOCT9sWTimw,Russell,4.49,49,0,2012-01-10 20:58:45,0,5,0,15,0,0,1
350534,hvPPx682fyXlW0_uQMQQ2w,Adam,5.0,1,0,2016-06-13 17:15:51,0,1,2,2,0,0,0
350535,pTHm46QHOcGVCQOVsJ5KhA,Becky,4.13,231,20,2009-03-01 16:45:00,20,108,52,259,11,11,8
350661,y7xqu2swrU7Gsr2WeFK9Gg,Jen,3.98,56,3,2011-08-30 08:13:52,3,9,5,27,3,3,3
350687,05n3vtFEA0NirrFXaQI0Zg,Lasharnia,3.42,42,2,2014-01-11 23:11:50,2,2,3,31,0,0,1
350692,AqRS07FmwbkGID57IRMs_w,Vilma,4.67,6,1,2015-06-05 01:40:56,1,2,1,2,0,0,0
350795,W7wrwtBHBDDkgFon_LoGNg,sonia,2.95,74,0,2009-04-21 06:20:07,0,7,15,42,0,0,0
350842,LtbngL1tfx54ggE0pe1IFg,John,2.25,4,1,2014-08-10 00:53:56,1,0,0,4,0,0,0
350904,_iehc_z6LUpNJKnfRmiyYg,Matthew,3.42,29,0,2013-03-27 01:43:09,0,9,14,46,0,0,1
350926,ZFimxj3uSskvHqtdY88mtQ,Aditi,4.86,7,0,2014-08-03 15:34:19,0,4,2,6,0,0,0
350929,l49SiMnSza1t5KdaOpecBQ,Rob,3.29,14,2,2012-03-17 15:35:03,2,2,4,11,0,0,1
350955,eUqRSK6oO5OYJ7YVvRlx1w,Ryan And Fancy,4.22,26,0,2012-09-15 19:34:35,0,31,5,54,0,0,0
350977,vncf7n09zLhMdPogybuhnA,Rachael,4.4,5,0,2015-12-03 17:25:47,0,0,0,2,0,0,0
350978,zjwO_sICRWDAca3d1mMxmw,Angelo,4.06,181,26,2007-02-15 17:10:24,26,700,774,875,192,192,161
350990,4KuXDha0eAVqRmD_-5c87g,Christine,3.65,290,37,2011-03-27 03:11:40,37,102,121,316,9,9,11
351001,e-KfvRM0T-vBM_AAUBJIKQ,Ignacio,3.18,11,0,2017-06-22 07:08:03,0,0,0,1,0,0,0
351014,NrhwIHGv2WmbQ_2vofb3Dg,Michelle,4.05,101,2,2011-11-20 22:38:35,2,28,24,131,2,2,2
351055,fUNQEzEVd4MDl2AcIeOnfA,Marc,4.08,122,10,2014-07-24 08:34:45,10,131,69,314,27,27,18
351075,WYwL2f-sNMTP1tf__tldQA,Maurice,4.0,27,0,2013-12-25 20:27:51,0,2,1,7,0,0,0
351095,ux7-tZhTBEsSa3GVSdo4CA,Leslie,4.56,8,0,2016-02-18 18:17:07,0,0,0,0,0,0,0
351121,72OpzOwUrxgjgzBElwvAPg,Gloria,3.98,151,13,2008-01-09 07:00:24,13,120,76,299,7,7,7
351168,PnP1iJsfaU0EjzgXNJ0MLA,Sean,5.0,4,1,2015-06-14 07:57:25,1,0,0,0,0,0,0
351181,owa4nN5Vijk7ZuEyvykmKQ,Vaso,4.8,39,13,2011-12-31 05:58:48,13,50,21,77,0,0,3
351182,NIWRHJHTHd_q1CidrJf4ZQ,Steve,3.31,12,0,2013-02-24 16:19:14,0,4,1,18,0,0,0
351203,UnrDKq5KM6JwL1UGUhIRdQ,Tim,4.33,6,1,2010-07-16 19:33:52,1,9,3,15,0,0,0
351233,Vh3XdOLujwPsUWygXQNO_w,Alice,3.76,36,5,2011-08-23 01:25:34,5,44,34,101,5,5,4
351242,Yi_dLDbN-iobnrt5Nmepag,Tyler,3.84,107,6,2007-01-08 02:16:50,6,51,107,194,0,0,2
351288,oNyXheIqoaYNsRLlGxv7Bg,Richard,4.45,43,1,2011-08-01 18:04:38,1,10,3,45,0,0,3
351384,sc2ydSq0Qn6usx0UGNZP5w,Nalisa,2.95,16,0,2016-03-19 05:45:19,0,3,5,16,0,0,4
351399,YOJM6Em279wzBM3sqQ0TmA,Teri,4.14,14,0,2012-02-27 20:22:07,0,3,2,17,0,0,0
351406,9lVm8Lqz0X9anpG1LqoxGA,Paige,4.2,10,0,2014-06-17 14:27:04,0,0,1,5,0,0,0
351423,xlxSDhAoJC1WHfq31zyfDw,Jenny,3.76,115,20,2007-07-19 00:58:51,20,111,74,181,12,12,15
351424,l1oVjrUuUQl75_pm2wZJ2g,Danielle,4.45,28,1,2012-03-21 20:15:34,1,5,2,10,0,0,0
351442,jKfm8sSFDdO040QB2vLFvQ,Diana,4.0,5,0,2012-08-28 20:28:58,0,0,0,2,0,0,0
351454,pMOi9QU6t2P6zmmWhIQlZA,Steffanie,3.99,145,19,2011-06-17 01:00:53,19,155,115,301,8,8,14
351498,rtVnxTYHKt_EHRvZarLnpw,Morgan,4.27,179,13,2013-04-04 03:16:19,13,184,67,338,25,25,6
351520,BO4gt2FOUofZJNyUKMYi2Q,Lauren,4.0,5,0,2013-07-28 07:45:18,0,0,0,3,0,0,0
351595,rCSC8zB9L74BSRFFjvdSsQ,Conor,5.0,2,0,2014-02-05 23:07:40,0,0,0,6,0,0,0
351607,BJxrNMH02rvBIqzvNBcH3w,Kyle,3.51,77,4,2012-05-07 21:28:55,4,49,64,278,1,1,6
351615,I0JqG0FOL1FXDTTi_VVJhg,Way,4.09,54,6,2011-10-11 19:29:27,6,48,37,82,3,3,0
351724,cMMAuCeIQKYpxGkaSTxJqA,Stephanie,4.11,125,8,2009-05-13 04:40:55,8,151,85,251,27,27,6
351737,TRzYUmQq26zNx-PBlrpEmg,Heidi,3.34,143,12,2012-04-14 02:15:06,12,48,53,190,2,2,7
351757,ImsFu7-sh1UDPGccfA05aw,Nicole,4.23,47,3,2012-06-03 21:49:51,3,12,11,34,0,0,0
351778,SigsctLKME5VJF_siTQ_5A,Sloan,4.33,205,9,2013-01-12 14:39:56,9,70,33,282,8,8,11
351795,IU-IDH3W3IKypdd0HnVtwg,Holly,4.43,13,1,2011-11-15 16:32:40,1,5,1,25,0,0,1
351802,1dETlpxJwNFKiQtRFtKTUw,David,4.03,30,0,2010-11-20 00:18:51,0,6,9,30,0,0,1
351808,CozGguiwx7JEVk7cAwdvpA,Spanky,3.64,237,18,2009-06-22 07:29:54,18,574,188,894,18,18,49
351828,l4AQujF_rm8BrRKblBWf3Q,Skylar,3.67,12,0,2015-06-10 21:54:00,0,2,3,8,0,0,0
351895,XfnaSCU9brBScu3w_8LUGg,Sandra,3.51,195,13,2008-06-27 02:46:04,13,77,51,229,4,4,2
352006,tn8bRVBZPw_pUx87qdnORA,Andrea,4.67,15,2,2010-03-11 21:29:55,2,14,5,28,2,2,2
352015,jcZJ480w0bZMObub5JbduA,Lisa,4.92,13,1,2016-09-19 22:55:30,1,2,0,3,0,0,1
352024,ywe8_GknIJ67TALO7P40-w,Brian,3.56,230,15,2013-05-21 15:45:09,15,181,219,672,39,39,25
352027,kxtp6CKGvbuMi2LQzwDDZw,Joseph,4.04,24,0,2011-01-15 18:21:53,0,34,29,50,1,1,3
352035,ZR933cOQPXU1ZLUfpg42ZQ,Ivan-Manuel,3.85,26,0,2016-03-12 00:34:16,0,0,0,7,0,0,0
352078,BeQHSek2_E1yDS9ClZpeOA,Karen,5.0,3,0,2016-10-26 21:13:09,0,0,0,0,0,0,0
352090,lnB0KUTVIT1gk9KjRshxxA,Sabrina,3.78,41,0,2015-10-31 21:14:07,0,0,2,12,0,0,2
352106,pUt534BeGqgeSkJOrBX_Hw,Maureen,4.2,5,0,2012-09-25 07:08:03,0,0,0,1,0,0,0
352147,2vDyc7SFzRECIdy3T5zvPg,Wanda,4.18,319,20,2008-08-08 16:13:57,20,334,216,495,9,9,15
352162,xjU-njurr-hrv6SHx-tcGw,Nikki,3.8,18,1,2011-05-04 02:44:23,1,3,3,9,1,1,0
352165,hqpn6j8ep1W7Y641xVMtuQ,Bridgette,3.57,55,2,2008-07-16 01:27:11,2,30,23,81,0,0,3
352185,r93Jsa_Ujxs4y7KrGZcN1g,David,4.1,212,15,2014-06-18 00:40:24,15,206,169,307,11,11,5
352193,P5a-6pnqABU3aYfXifN8gQ,Bryce,3.17,6,0,2016-09-13 16:34:16,0,0,1,0,0,0,0
352210,5-Y3y07Quae41LrDfjuGhQ,Emy,4.33,15,1,2011-03-23 00:30:39,1,8,1,17,0,0,0
352212,QS0xJhoxO1WcpmtHIBHfCg,Tarheel,2.94,13,0,2013-05-05 23:11:18,0,1,5,8,0,0,0
352240,TJqLwY6udp6I8_51jINmAQ,Edward,4.48,39,0,2012-07-08 22:34:27,0,18,18,26,0,0,0
352278,3lfOsrZEQmC6nSVvHVjo8w,Anna,4.33,24,1,2010-04-19 19:02:08,1,14,1,40,0,0,0
352282,VH1VKZ35DmSsZmDJlNIarQ,kathy,4.6,5,0,2011-01-13 22:08:01,0,5,0,5,1,1,0
352297,vsQ8GeYZYvKxJefq9wgjug,Laura,3.84,140,3,2010-09-30 04:56:10,3,36,27,87,1,1,3
352330,3zlK9eBVCpRWMPLjtAj6cQ,Jason,3.73,94,2,2008-06-18 15:39:10,2,44,37,231,3,3,1
352408,7lUqTwRE2fZ9WzJu-jDHeA,D,3.0,55,3,2014-03-31 20:42:31,3,10,32,69,0,0,3
352430,WNMUH0yaXFPiQ8aVE-Hq_w,Gee,3.92,596,15,2007-12-05 06:17:40,15,311,233,622,31,31,24
352441,qFgbxW2Ld_9RyHkC6WGhzA,Wes,4.76,21,0,2010-12-22 20:23:42,0,0,0,7,0,0,0
352476,LSWgCrPLTslt9H2DUOPBPw,Josh,2.0,2,0,2011-08-13 21:40:12,0,1,0,8,0,0,1
352513,b5IfTAghduuwdh_NT6KhIw,Ameera,4.38,146,8,2011-12-19 23:04:03,8,60,42,149,16,16,9
352522,M3eQpdq7uObD652Ymd_9mg,Matt,4.24,29,0,2011-04-08 17:47:26,0,3,2,11,0,0,0
352554,QnP8IkUesnfzwf00vrc5Kg,Mark,4.18,32,1,2009-06-22 23:40:07,1,27,24,89,0,0,0
352568,3QCKdVH1ErCqK6386dpQDQ,Guen,3.43,7,1,2013-12-01 06:45:04,1,1,3,0,0,0,0
352606,otNaOCdxQDZUEUxON_XTaw,Rachel,4.39,120,15,2011-12-16 05:01:59,15,119,52,181,8,8,7
352651,2K2AVg7k_7RsfPDrtS-Gqg,Renee,4.26,59,2,2012-11-13 03:55:58,2,26,33,76,1,1,0
352669,NV7Iqq3yQEN1_WWt5qDsCQ,Beverly,3.71,533,52,2009-03-19 21:30:14,52,514,394,1162,57,57,60
352691,FL-ccXl8INfr8mbo2Dq8XQ,Matthew,2.6,8,1,2012-08-15 17:08:59,1,5,7,36,0,0,0
352700,ETKGwilmSHNfWiQK9iGUnw,Erica,3.51,257,53,2010-10-02 22:01:59,53,431,201,644,30,30,13
352707,_XkHakHcFdxFht8zeJIaXg,Scott,4.35,20,1,2009-01-18 05:06:54,1,7,1,22,1,1,1
352765,7MF5iBK7ZKMnVHJxzyty-g,Rae,3.86,420,96,2012-02-02 20:12:45,96,2606,2246,3489,372,372,341
352771,gJ_rKEnKSpk7gCuKwAPdqA,Craig,4.02,78,1,2012-10-26 22:20:35,1,23,12,74,10,10,1
352810,j5AwHkR6819n8xEwPIshHg,Mark,4.53,34,100,2013-01-08 04:23:43,100,105,5,129,1,1,0
352837,9wOsnUh-G8DjzhmfFZQGBQ,Jen,3.86,94,3,2008-09-20 07:40:16,3,69,63,115,14,14,7
352875,0P6_6VKzDK5d_jFq9WIUkw,Doreen,4.94,16,0,2008-04-07 22:31:28,0,0,0,4,0,0,0
352890,ah9xD9bYaj2oTndjxUNFcA,Nami,3.81,344,50,2014-06-18 00:07:01,50,296,156,553,15,15,15
352891,VsxfNe03yLeVT269C5u5aw,Rachelle,3.37,35,4,2009-06-29 20:45:57,4,41,38,68,7,7,3
352906,GVXIGDbs9RGJWfKNbAmruA,Ty,4.13,439,17,2008-11-21 17:36:33,17,238,172,479,5,5,15
352918,aQRs9aqmLv1YSBXKwxb74A,Steven,3.6,291,4,2010-05-24 02:23:19,4,120,137,255,2,2,3
352969,cIEsekOpZcwUoiVTil2D-Q,Jasmine,4.37,147,8,2010-12-05 05:01:54,8,105,54,132,6,6,3
352991,0JyIAcRDXHtaBc4A6HeFTA,Vanessa,4.5,10,0,2012-08-12 01:47:19,0,2,2,6,0,0,0
353055,jGFZdHJFzILwXYMyy7Rzmw,Lorena,2.5,5,1,2016-07-31 02:10:22,1,0,0,1,0,0,0
353080,-hb-jWOSILqYDe8HLrr9aQ,Katherine,4.32,28,1,2013-09-02 17:47:33,1,4,1,6,0,0,0
353089,oGbMKqd1wqiONGBzD8FPCQ,Pedro,3.0,2,0,2015-07-29 04:27:18,0,0,1,1,0,0,0
353105,5EqSrvt6maQfyhSwG0aVmQ,Faisal,3.83,102,9,2013-08-09 22:50:27,9,54,53,167,7,7,9
353113,H4W5ztMflDOJtQ5NJu32Rg,Kate,3.8,49,1,2011-03-18 16:47:23,1,18,14,55,3,3,1
353144,6FqCq3GJ-PEuEaFtVzGrUQ,Doretha,3.45,22,0,2010-03-12 14:35:43,0,5,3,17,0,0,0
353145,QVYyTgJFz7lcMv31ZmghGg,Vivian,3.91,38,9,2010-10-22 21:47:58,9,37,33,93,3,3,5
353161,TtsaJ5aWVrvE2fybKPwdjw,Skylar,2.39,18,1,2012-03-10 17:08:57,1,1,3,19,0,0,0
353189,7p0vFy9j4mYHsZvE0Md1ZQ,Nathan,3.5,2,0,2017-07-07 18:31:58,0,0,0,3,0,0,0
353222,VtLJRPccLWgzSPUafKus0w,Kaleigh,3.6,5,1,2015-08-06 17:21:03,1,0,0,2,0,0,0
353242,DiIGNLfBYaED0s9ONCGECw,Molly,3.78,76,3,2011-05-25 17:07:17,3,18,17,53,4,4,0
353255,-S5PeV9TdDTQDAeEAYR8Bg,Aerial,4.07,612,14,2014-01-30 21:15:40,14,113,88,191,4,4,5
353282,jWyRDIGeKaJhFONFmDG5Tg,Justin,3.74,47,5,2012-09-05 06:53:51,5,13,5,34,0,0,5
353293,EjpXGDdnhlJ2rUnAc_w8lw,Jewell,4.85,13,2,2011-04-06 16:25:50,2,0,0,2,0,0,1
353319,m1A6NOiyg92hc6hm8Bnskw,A.j.,3.57,214,22,2012-03-08 01:28:07,22,113,98,396,16,16,10
353373,YUnvj9z5DP8p5NKO0b4Gyw,Katie,4.05,81,3,2009-03-23 11:51:30,3,20,4,101,0,0,1
353377,wTGFI5Mz0hb68Xr22nDWxQ,Miguel,3.93,304,14,2012-06-20 19:42:11,14,113,93,266,3,3,11
353380,JWkwQmgNyCKCYYwlY2n_iA,Jenny,3.98,284,5,2011-05-06 21:45:06,5,49,33,172,2,2,6
353395,FFDzKXj62mhv19GYd41lOw,Hoang,4.08,24,0,2013-10-18 21:24:31,0,2,1,3,0,0,0
353403,_IlFzsAbNjH1HgP3d_-tsw,Carolyn,4.36,14,2,2015-06-19 21:19:53,2,33,10,50,0,0,6
353474,I9HfcU8KrcFp5MxnXN6qPg,Elle,3.75,8,1,2013-03-27 20:41:54,1,2,5,10,1,1,0
353475,gLN-xH6SWuaGhx3thwrSNg,Brien,4.06,34,1,2014-12-24 12:49:17,1,20,4,41,2,2,2
353493,27eZAOJjn9QWOUb0cM2FGw,Stephane,3.0,16,2,2013-04-20 10:13:46,2,10,28,61,0,0,0
353509,B3xwUPXMlCb7_5IEDlq4Uw,Yolie,3.89,8,0,2012-01-02 03:53:07,0,3,2,6,0,0,0
353529,q5t89p7J7m8u2lRI4UJDmg,Joseph,5.0,13,1,2012-09-08 17:31:32,1,6,1,3,1,1,0
353543,rHfpg95Js3cvk7RvJsp1wg,Miranda,3.44,56,6,2012-12-11 00:37:11,6,77,80,125,3,3,8
353560,kfP8RP2ckpT5Kpc7uHRj-Q,Anu,4.11,44,5,2014-03-24 00:32:47,5,21,8,70,1,1,0
353571,jro0fPsXv9_e70fcffeANw,Michael,3.78,45,3,2009-07-23 23:58:49,3,5,8,25,2,2,1
353618,XkIdd2k-E_0oNWdN9TYnDA,Erin,3.91,77,7,2013-07-20 18:22:28,7,43,33,54,5,5,3
353631,1iHUxig3HRfU8F90_jz6Lw,NoyPi,3.75,101,4,2009-04-20 11:32:47,4,23,25,109,0,0,3
353651,c47I7oGeE5jdeasp_aOc1Q,Rob,3.7,427,8,2007-11-26 22:02:09,8,205,124,657,7,7,16
353654,6lglTQ82BZIRszM9MelmUw,Ashley,4.01,160,18,2012-09-23 04:00:41,18,249,156,441,38,38,12
353669,-01CztZ8o5UbarmEiQLDsQ,Kelly,5.0,2,0,2015-07-05 03:05:01,0,0,0,2,0,0,0
353715,cZlceP0Yw78sVu5byAjEbA,Jana,4.33,133,12,2010-07-08 17:47:39,12,201,91,342,15,15,9
353725,AJZswytm2Ggg4lkhVPE9Dw,Brendan,3.73,9,0,2012-06-14 21:45:32,0,0,0,5,1,1,0
353742,3LOdmYe6jpwuMCkzJT6YpA,Faye,4.15,163,21,2007-11-06 08:04:32,21,145,85,291,40,40,29
353807,2eRr67nnZh8m48hfmF65Vw,April,4.33,6,0,2015-08-29 19:38:45,0,1,1,2,0,0,0
353823,SNzO5tv6ujrWCDdidU_3Ng,Julie,3.8,254,29,2010-07-12 15:26:20,29,140,109,321,30,30,19
353858,7oB7Lm30WRxQ_a4yxrD2uQ,Anne,4.13,21,0,2013-04-09 02:06:59,0,1,0,7,0,0,0
353896,QobuiMh08vSj2t41Z9HXVQ,Tasheena,3.61,97,4,2010-12-23 20:55:58,4,42,41,160,1,1,6
353928,A9L3PY7xVnZbTemVcca7aw,Concerned,3.7,68,0,2011-01-04 03:05:24,0,4,13,88,0,0,0
353932,Ru3XlA1NeRAYgtE0KUK7tg,Kate,4.09,62,8,2011-04-27 17:59:15,8,41,34,83,4,4,3
353935,-O7w-VlMdxsR4B-JN9nsRQ,Stephen,4.07,67,2,2013-11-13 05:32:50,2,56,32,99,6,6,9
353947,4CcZDsoqvxZkYfbLaeworA,Kev,3.13,28,4,2007-09-28 20:27:59,4,32,37,52,4,4,2
353957,g6GQ97cmcgttTdZff0Qd3A,MissusBugatti,3.58,329,8,2010-07-27 21:31:48,8,104,117,317,6,6,4
354016,sEsAi7Z9tmjyTWwLG6OaDw,Karrington,4.4,10,1,2010-12-17 03:09:43,1,6,6,64,0,0,1
354040,SRbK_qIGuWNDLDZYrlEVEQ,Ryan,3.41,76,2,2009-10-14 13:22:33,2,12,44,103,0,0,0
354042,4kFIl7fCTTobtyDA23Fgog,James,4.8,19,0,2013-06-09 23:06:45,0,5,2,4,0,0,0
354071,_P3tk-EWWGe5Eln_Ajd4lg,Leanna,3.93,25,0,2010-06-06 16:58:10,0,24,13,39,0,0,3
354141,OiI7yhtzOltYwaUVJQttZw,Andres,4.64,26,1,2014-05-11 03:09:21,1,2,3,11,0,0,0
354161,vLXo2QRsqyf5BzLtvu9tDQ,Hana,4.29,7,2,2012-02-17 23:52:54,2,11,17,22,2,2,1
354175,lScDtHorU-L7EMfqXpmSYg,Sam,4.13,15,1,2012-06-16 05:39:58,1,3,1,8,0,0,0
354202,izKcEPXz-FInnJ_yT1h1-g,Carisse,4.45,46,2,2012-07-31 21:52:37,2,10,5,46,0,0,0
354222,NZbft3iS9rFG0KI4OlN7Tg,Renee,4.32,24,1,2011-08-22 01:49:49,1,5,2,16,1,1,0
354233,9JqNcoRQ1V323o7dRKTfdA,Airin,4.21,32,5,2010-09-02 15:44:10,5,30,8,51,1,1,2
354270,TRqAjhbRJ-QALIGEY8gtIQ,David,4.78,18,1,2016-12-03 17:58:03,1,0,1,4,0,0,0
354337,xK4gPGseFiolz4Hv2aDpVQ,Steve,3.73,20,0,2011-08-10 19:25:24,0,2,1,16,0,0,0
354403,uHMhpNnlYJrQ-_i54z3n8g,Neil,3.8,150,0,2010-08-07 19:51:59,0,76,63,219,11,11,2
354412,EIybIzFApTuyy6l679RCIw,Lady,4.3,292,8,2008-07-21 00:46:22,8,278,244,503,4,4,4
354420,1JbxlShhfwSQW1fpTvE2qw,Gregory,3.28,140,1,2010-01-02 03:10:47,1,30,54,93,0,0,3
354459,GkTMQ9QKpBB3Wb8-BG4t2Q,Valentin,3.4,5,0,2012-01-16 23:06:42,0,0,0,7,0,0,0
